climb,course,fclimb,fcourse,fspeed,gspeed
0.7409078,1.5707964,-0.007409078,1.5707964E-7,0.0,0.0
0.98870456,1.5707964,-0.009887045,1.5707964E-7,0.0,0.0
0.7246183,1.5707964,-0.007246183,1.5707964E-7,0.0,0.0
0.9967406,1.5707964,-0.009967405,1.5707964E-7,0.0,0.0
1.0246187,1.5707964,-0.010246187,1.5707964E-7,0.0,0.0
0.9815011,1.5707964,-0.009815011,1.5707964E-7,0.0,0.0
0.68044937,1.5691292,-0.0068044937,1.5691292E-7,0.08417488,8.417488
0.6962638,1.5581652,-0.006962638,1.5581652E-7,0.11415737,11.415737
0.75450736,1.5346353,-0.0075450735,1.5346353E-7,0.12169478,12.169478
1.1531595,1.4997187,-0.011531595,1.4997187E-7,0.1270027,12.700271
1.6354265,1.4535656,-0.016354265,1.4535657E-7,0.13056958,13.056957
2.0396187,1.3959041,-0.020396188,1.3959041E-7,0.13287826,13.287827
2.1724157,1.326206,-0.021724157,1.326206E-7,0.13434033,13.434033
2.032151,1.2437723,-0.02032151,1.2437722E-7,0.13527715,13.527716
2.324141,1.1477691,-0.02324141,1.1477691E-7,0.13592523,13.592523
2.0475264,1.0372298,-0.020475263,1.03722975E-7,0.13645183,13.645183
2.0669985,0.9110341,-0.020669986,9.110341E-8,0.13697156,13.697156
1.9736633,0.76857364,-0.019736633,7.685736E-8,0.13756533,13.756533
1.9023986,0.6191252,-0.019023987,6.1912516E-8,0.13826577,13.826577
1.9023986,0.6191252,-0.019023987,6.1912516E-8,0.13826577,13.826577
1.7710495,0.3221158,-0.017710496,3.221158E-8,0.13956897,13.956897
1.673043,0.17456152,-0.01673043,1.7456152E-8,0.14006647,14.006647
1.9251575,0.02747186,-0.019251576,2.747186E-9,0.14044736,14.044736
1.8396816,6.1639147,-0.018396817,6.1639145E-7,0.14072295,14.072294
1.6736212,6.0174136,-0.016736211,6.0174136E-7,0.14091082,14.091083
1.757858,5.87107,-0.01757858,5.8710697E-7,0.14103003,14.103003
1.9997232,5.7248282,-0.019997232,5.724828E-7,0.14109917,14.109917
1.962321,5.5786347,-0.01962321,5.578635E-7,0.14113346,14.113345
2.025485,5.432468,-0.02025485,5.432468E-7,0.14114517,14.114516
1.8868985,5.286302,-0.018868985,5.286302E-7,0.14114289,14.114288
2.0114806,5.140132,-0.020114806,5.140132E-7,0.14113371,14.113371
1.9947958,4.9939485,-0.019947957,4.9939484E-7,0.14112175,14.112174
1.9953511,4.847753,-0.019953512,4.847753E-7,0.14111002,14.111002
1.907784,4.701546,-0.01907784,4.7015462E-7,0.14110123,14.110123
1.8857706,4.5553317,-0.018857706,4.5553318E-7,0.141092,14.1092
1.8826339,4.4091053,-0.01882634,4.4091053E-7,0.14108494,14.108494
2.0718465,4.2628703,-0.020718465,4.2628704E-7,0.14107984,14.107985
2.0695095,4.1166334,-0.020695096,4.1166334E-7,0.1410763,14.10763
1.9757696,3.970394,-0.019757695,3.970394E-7,0.14107393,14.107393
1.9240568,3.8241527,-0.019240567,3.8241527E-7,0.14107251,14.107251
1.7363266,3.6779087,-0.017363265,3.6779088E-7,0.1410719,14.10719
1.8657901,3.5316653,-0.0186579,3.5316654E-7,0.14107165,14.107165
1.9500251,3.3854225,-0.01950025,3.3854224E-7,0.14107133,14.107134
1.8975,3.2391787,-0.018975,3.2391787E-7,0.14107157,14.107158
1.9176235,3.0929348,-0.019176235,3.0929348E-7,0.14107175,14.107175
1.8447478,2.9466913,-0.018447477,2.9466912E-7,0.14107195,14.107195
