X,Y
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.104367,0.0035081566
4.9580708,0.039555613
7.9984484,0.14954665
11.165511,0.3750338
14.407358,0.7568284
17.678652,1.3348578
20.937212,2.1481538
24.13992,3.2345223
27.238518,4.6295376
30.17565,6.3645544
32.88132,8.463408
35.271908,10.935821
37.277885,13.750875
37.277885,13.750875
39.956627,20.15752
40.564785,23.60598
40.661232,27.115852
40.242622,30.608946
39.31735,34.008045
37.90511,37.238617
36.036266,40.230377
33.750984,42.918636
31.098314,45.24558
28.135069,47.161327
24.924603,48.624954
21.53547,49.60524
18.03999,50.081314
14.51272,50.043068
11.028888,49.491364
7.6627903,48.437984
4.4862275,46.905415
1.5669633,44.926376
-1.0327139,42.54311
-3.2573283,39.806484
-5.059398,36.774906
