heading,hspeed,course,err,last_err,d_err,roll
5.668789,1.5707964,0.0,1.5707964,1.5707964,1.5707964,-0.6
5.668789,1.5707964,5.668789,2.1851928,2.1851928,0.61439645,-0.6
5.668789,1.5707964,5.668789,2.1851928,2.1851928,0.0,-0.6
5.668789,1.5707964,5.668789,2.1851928,2.1851928,0.0,-0.6
5.668789,1.5707964,5.668789,2.1851928,2.1851928,0.0,-0.6
5.660174,1.5707964,5.668789,2.1851928,2.1851928,0.0,-0.6
5.648567,1.5691292,5.660174,2.1921408,2.1921408,0.006947994,-0.6
5.636198,1.5581652,5.648567,2.192783,2.192783,6.4229965E-4,-0.6
5.6232057,1.5346353,5.636198,2.1816227,2.1816227,-0.011160374,-0.6
5.6096807,1.4997187,5.6232057,2.1596982,2.1596982,-0.021924496,-0.6
5.5956726,1.4535656,5.6096807,2.1270702,2.1270702,-0.03262806,-0.6
5.581205,1.3959041,5.5956726,2.0834167,2.0834167,-0.04365349,-0.6
5.56629,1.326206,5.581205,2.028186,2.028186,-0.055230618,-0.6
5.5509486,1.2437723,5.56629,1.960668,1.960668,-0.067518115,-0.6
5.5352263,1.1477691,5.5509486,1.8800057,1.8800057,-0.08066225,-0.6
5.5192146,1.0372298,5.5352263,1.785189,1.785189,-0.094816685,-0.6
5.5030746,0.9110341,5.5192146,1.6750048,1.6750048,-0.11018419,-0.6
5.4870367,0.76857364,5.5030746,1.5486845,1.5486845,-0.12632036,-0.6
5.4870367,0.6191252,5.4870367,1.415274,1.415274,-0.13341045,-0.6
5.456293,0.6191252,5.4870367,1.415274,1.415274,0.0,-0.6
5.4421163,0.3221158,5.456293,1.1490082,1.1490082,-0.26626587,-0.6
5.429091,0.17456152,5.4421163,1.0156306,1.0156306,-0.13337755,-0.6
5.4174824,0.02747186,5.429091,0.88156635,0.88156635,-0.13406426,-0.6
5.4075527,6.1639147,5.4174824,0.7464323,0.7464323,-0.13513404,-0.6
5.3995566,6.0174136,5.4075527,0.6098609,0.6098609,-0.1365714,-0.6
5.39374,5.87107,5.3995566,0.47151327,0.47151327,-0.13834763,-0.6
5.390332,5.7248282,5.39374,0.33108807,0.33108807,-0.1404252,-0.6
5.389537,5.5786347,5.390332,0.18830252,0.18830252,-0.14278555,-0.37206098
5.3915205,5.432468,5.389537,0.04293108,0.04293108,-0.14537144,-0.08483319
5.3963995,5.286302,5.3915205,-0.10521841,-0.10521841,-0.14814949,0.20791161
5.404222,5.140132,5.3963995,-0.25626755,-0.25626755,-0.15104914,0.5063518
5.4149513,4.9939485,5.404222,-0.41027355,-0.41027355,-0.154006,0.6
5.42845,4.847753,5.4149513,-0.5671983,-0.5671983,-0.15692472,0.6
5.444467,4.701546,5.42845,-0.7269039,-0.7269039,-0.15970564,0.6
5.4626327,4.5553317,5.444467,-0.88913536,-0.88913536,-0.16223145,0.6
5.482465,4.4091053,5.4626327,-1.0535274,-1.0535274,-0.164392,0.6
5.5033846,4.2628703,5.482465,-1.2195945,-1.2195945,-0.16606712,0.6
5.524749,4.1166334,5.5033846,-1.3867512,-1.3867512,-0.1671567,0.6
5.545885,3.970394,5.524749,-1.5543549,-1.5543549,-0.16760373,0.6
5.5661354,3.8241527,5.545885,-1.7217324,-1.7217324,-0.16737747,0.6
