climb,course,fclimb,fcourse,fspeed,gspeed
-6,15707963,0.060000,1.570796,0.000000,0
6,15707963,-0.060000,1.570796,0.000000,0
-4,15707963,0.040000,1.570796,0.000000,0
7,15707963,-0.070000,1.570796,0.000000,0
9,15707963,-0.090000,1.570796,0.000000,0
11,15707963,-0.110000,1.570796,0.000000,0
9,15707963,-0.090000,1.570796,0.000000,0
-6,15707963,0.060000,1.570796,0.000000,0
-6,15707963,0.060000,1.570796,0.000000,0
1,15707963,-0.010000,1.570796,0.000000,0
-1,15707963,0.010000,1.570796,0.000000,0
18,15707963,-0.180000,1.570796,0.000000,0
19,15707963,-0.190000,1.570796,0.000000,0
13,15707963,-0.130000,1.570796,0.000000,0
23,15707963,-0.230000,1.570796,0.000000,0
29,15707963,-0.290000,1.570796,0.000000,0
13,15707963,-0.130000,1.570796,0.000000,0
11,15707963,-0.110000,1.570796,0.000000,0
21,15707963,-0.210000,1.570796,0.000000,0
18,15707963,-0.180000,1.570796,0.000000,0
4,15707963,-0.040000,1.570796,0.000000,0
1,15707963,-0.010000,1.570796,0.000000,0
-7,15707963,0.070000,1.570796,0.000000,0
-23,15707963,0.230000,1.570796,0.000000,0
-13,15707963,0.130000,1.570796,0.000000,0
-13,15707963,0.130000,1.570796,0.000000,0
5,15707963,-0.050000,1.570796,0.000000,0
28,15707963,-0.280000,1.570796,0.000000,0
21,15707963,-0.210000,1.570796,0.000000,0
10,15707963,-0.100000,1.570796,0.000000,0
8,15707963,-0.080000,1.570796,0.000000,0
-5,15707963,0.050000,1.570796,0.000000,0
-16,15707963,0.160000,1.570796,0.000000,0
-1,15707963,0.010000,1.570796,0.000000,0
-5,15707963,0.050000,1.570796,0.000000,0
-19,15707963,0.190000,1.570796,0.000000,0
-12,15707963,0.120000,1.570796,0.000000,0
-4,15707963,0.040000,1.570796,0.000000,0
-17,15707963,0.170000,1.570796,0.000000,0
-26,15707963,0.260000,1.570796,0.000000,0
-29,15707963,0.290000,1.570796,0.000000,0
-30,15707963,0.300000,1.570796,0.000000,0
-15,15707963,0.150000,1.570796,0.000000,0
-15,15707963,0.150000,1.570796,0.000000,0
-16,15707963,0.160000,1.570796,0.000000,0
-21,15707963,0.210000,1.570796,0.000000,0
-14,15707963,0.140000,1.570796,0.000000,0
-31,15707963,0.310000,1.570796,0.000000,0
-22,15707963,0.220000,1.570796,0.000000,0
-20,15707963,0.200000,1.570796,0.000000,0
-16,15707963,0.160000,1.570796,0.000000,0
-5,15707963,0.050000,1.570796,0.000000,0
2,62812474,-0.020000,6.281248,10.900000,1090
18,62698467,-0.180000,6.269847,12.450000,1245
0,62468233,0.000000,6.246823,12.420000,1242
-15,62123379,0.150000,6.212338,12.590000,1259
-50,61624095,0.500000,6.162409,12.930000,1293
-103,61007125,1.030000,6.100712,13.370000,1337
-177,60332993,1.770000,6.033299,13.810000,1381
-245,59563734,2.450000,5.956373,14.240000,1424
-287,58619705,2.870000,5.861970,14.570000,1457
-342,57569636,3.420000,5.756964,14.750000,1475
-398,56548670,3.980000,5.654867,14.820000,1482
-418,55568694,4.180000,5.556870,14.820000,1482
-450,54637203,4.500000,5.463720,14.780000,1478
-494,53838236,4.940000,5.383823,14.700000,1470
-498,53216455,4.980000,5.321646,14.620000,1462
-481,52700043,4.810000,5.270004,14.540000,1454
-482,52257885,4.820000,5.225789,14.460000,1446
-482,51930768,4.820000,5.193077,14.390000,1439
-478,51733919,4.780000,5.173392,14.350000,1435
-476,51635934,4.760000,5.163593,14.330000,1433
-482,51642597,4.820000,5.164260,14.310000,1431
-458,51762361,4.580000,5.176236,14.310000,1431
-448,51978117,4.480000,5.197812,14.320000,1432
-455,52294906,4.550000,5.229491,14.340000,1434
-454,52755996,4.540000,5.275599,14.360000,1436
-455,53337591,4.550000,5.333759,14.390000,1439
-448,53989273,4.480000,5.398927,14.420000,1442
-446,54753414,4.460000,5.475341,14.440000,1444
-434,55706906,4.340000,5.570691,14.470000,1447
-443,56743127,4.430000,5.674313,14.510000,1451
