heading,hspeed,course,err,last_err,d_err,roll
5.664124,1.570796,5.664124,2.189857,2.189857,2.189857,-0.100000
5.664124,1.570796,5.664124,2.189857,2.189857,0.000000,-0.200000
5.664124,1.570796,5.664124,2.189857,2.189857,0.000000,-0.300000
5.664124,1.570796,5.664124,2.189857,2.189857,0.000000,-0.400000
5.664124,1.570796,5.664124,2.189857,2.189857,0.000000,-0.500000
5.664124,1.570796,5.664124,2.189857,2.189857,0.000000,-0.600000
5.655382,6.281248,5.655382,0.625865,0.625865,-1.563991,-0.600000
5.646419,6.269847,5.646419,0.623428,0.623428,-0.002438,-0.600000
5.637489,6.246823,5.637489,0.609334,0.609334,-0.014093,-0.600000
5.628852,6.212338,5.628852,0.583486,0.583486,-0.025849,-0.600000
5.619253,6.162409,5.619253,0.543156,0.543156,-0.040329,-0.600000
5.610005,6.100712,5.610005,0.490707,0.490707,-0.052449,-0.600000
5.603135,6.033299,5.603135,0.430164,0.430164,-0.060543,-0.600000
5.597274,5.956373,5.597274,0.359099,0.359099,-0.071065,-0.550692
5.590023,5.861970,5.590023,0.271947,0.271947,-0.087152,-0.450692
5.586792,5.756964,5.586792,0.170172,0.170172,-0.101775,-0.350692
5.584870,5.654867,5.584870,0.069997,0.069997,-0.100175,-0.250692
5.586176,5.556870,5.586176,-0.029307,-0.029307,-0.099304,-0.150692
5.588700,5.463720,5.588700,-0.124980,-0.124980,-0.095673,-0.050692
5.594090,5.383823,5.594090,-0.210267,-0.210267,-0.085287,0.049308
5.600356,5.321646,5.600356,-0.278710,-0.278710,-0.068443,0.149308
5.607401,5.270004,5.607401,-0.337397,-0.337397,-0.058687,0.249308
5.617845,5.225789,5.617845,-0.392056,-0.392056,-0.054660,0.349308
5.628368,5.193077,5.628368,-0.435292,-0.435292,-0.043235,0.449308
5.639539,5.173392,5.639539,-0.466147,-0.466147,-0.030856,0.549308
5.651217,5.163593,5.651217,-0.487623,-0.487623,-0.021476,0.600000
5.664321,5.164260,5.664321,-0.500061,-0.500061,-0.012438,0.600000
5.677199,5.176236,5.677199,-0.500963,-0.500963,-0.000902,0.600000
5.690280,5.197812,5.690280,-0.492468,-0.492468,0.008495,0.600000
5.703775,5.229491,5.703775,-0.474285,-0.474285,0.018184,0.600000
5.716075,5.275599,5.716075,-0.440476,-0.440476,0.033809,0.600000
5.727348,5.333759,5.727348,-0.393589,-0.393589,0.046887,0.600000
5.738307,5.398927,5.738307,-0.339380,-0.339380,0.054209,0.527031
5.746063,5.475341,5.746063,-0.270721,-0.270721,0.068658,0.427031
,5.570691,5.746063,-0.175372,-0.175372,0.095349,0.327031
