# Iterations: 2000
# Rows      : 100
# Cols      : 55
# Levels    : 7
# Ntrees    : 50
# Ntrees internal   : 350
iter,total_time,time_per_row,time_per_tree,time_per_row_tree,time_per_inter_tree,time_per_row_inter_tree
1,6873000,68730,137460,1374,19637,196
2,5670000,56700,113400,1134,16200,162
3,5677000,56770,113540,1135,16220,162
4,5619000,56190,112380,1123,16054,160
5,5497000,54970,109940,1099,15705,157
6,5531000,55310,110620,1106,15802,158
7,5686000,56860,113720,1137,16245,162
8,5704000,57040,114080,1140,16297,162
9,5570000,55700,111400,1114,15914,159
10,5642000,56420,112840,1128,16120,161
11,5518000,55180,110360,1103,15765,157
12,5548000,55480,110960,1109,15851,158
13,5763000,57630,115260,1152,16465,164
14,5908000,59080,118160,1181,16880,168
15,5590000,55900,111800,1118,15971,159
16,5565000,55650,111300,1113,15900,159
17,6172000,61720,123440,1234,17634,176
18,5977000,59770,119540,1195,17077,170
19,6109000,61090,122180,1221,17454,174
20,5962000,59620,119240,1192,17034,170
21,6303000,63030,126060,1260,18008,180
22,6035000,60350,120700,1207,17242,172
23,6019000,60190,120380,1203,17197,171
24,5938000,59380,118760,1187,16965,169
25,6032000,60320,120640,1206,17234,172
26,11505000,115050,230100,2301,32871,328
27,8461000,84610,169220,1692,24174,241
28,4913000,49130,98260,982,14037,140
29,4838000,48380,96760,967,13822,138
30,4733000,47330,94660,946,13522,135
31,4804000,48040,96080,960,13725,137
33,5247000,52470,104940,1049,14991,149
34,5178000,51780,103560,1035,14794,147
35,5139000,51390,102780,1027,14682,146
36,5318000,53180,106360,1063,15194,151
37,5040000,50400,100800,1008,14400,144
38,5201000,52010,104020,1040,14860,148
39,5127000,51270,102540,1025,14648,146
40,5042000,50420,100840,1008,14405,144
41,5210000,52100,104200,1042,14885,148
42,5061000,50610,101220,1012,14460,144
43,5219000,52190,104380,1043,14911,149
44,5279000,52790,105580,1055,15082,150
45,5817000,58170,116340,1163,16620,166
46,5224000,52240,104480,1044,14925,149
47,5076000,50760,101520,1015,14502,145
48,5444000,54440,108880,1088,15554,155
49,5162000,51620,103240,1032,14748,147
50,9183000,91830,183660,1836,26237,262
51,6613000,66130,132260,1322,18894,188
52,5113000,51130,102260,1022,14608,146
53,5145000,51450,102900,1029,14700,147
54,5039000,50390,100780,1007,14397,143
55,5206000,52060,104120,1041,14874,148
56,5106000,51060,102120,1021,14588,145
57,5083000,50830,101660,1016,14522,145
58,5070000,50700,101400,1014,14485,144
59,5207000,52070,104140,1041,14877,148
60,5332000,53320,106640,1066,15234,152
61,5135000,51350,102700,1027,14671,146
62,5060000,50600,101200,1012,14457,144
63,5065000,50650,101300,1013,14471,144
64,5277000,52770,105540,1055,15077,150
65,5255000,52550,105100,1051,15014,150
66,5453000,54530,109060,1090,15580,155
67,5157000,51570,103140,1031,14734,147
68,5109000,51090,102180,1021,14597,145
69,5196000,51960,103920,1039,14845,148
70,5144000,51440,102880,1028,14697,146
71,5188000,51880,103760,1037,14822,148
72,5181000,51810,103620,1036,14802,148
73,5017000,50170,100340,1003,14334,143
74,5113000,51130,102260,1022,14608,146
75,5161000,51610,103220,1032,14745,147
76,5169000,51690,103380,1033,14768,147
77,4981000,49810,99620,996,14231,142
78,5425000,54250,108500,1085,15500,155
79,5817000,58170,116340,1163,16620,166
80,5809000,58090,116180,1161,16597,165
81,5350000,53500,107000,1070,15285,152
82,5183000,51830,103660,1036,14808,148
83,4905000,49050,98100,981,14014,140
84,7055000,70550,141100,1411,20157,201
85,6755000,67550,135100,1351,19300,193
86,6085000,60850,121700,1217,17385,173
87,5410000,54100,108200,1082,15457,154
88,5117000,51170,102340,1023,14620,146
89,5046000,50460,100920,1009,14417,144
90,5086000,50860,101720,1017,14531,145
91,5075000,50750,101500,1015,14500,145
92,4950000,49500,99000,990,14142,141
93,5182000,51820,103640,1036,14805,148
94,7279000,72790,145580,1455,20797,207
95,6716000,67160,134320,1343,19188,191
96,6183000,61830,123660,1236,17665,176
97,5481000,54810,109620,1096,15660,156
98,5293000,52930,105860,1058,15122,151
99,5609000,56090,112180,1121,16025,160
100,5143000,51430,102860,1028,14694,146
101,5066000,50660,101320,1013,14474,144
102,7104000,71040,142080,1420,20297,202
103,6226000,62260,124520,1245,17788,177
104,4914000,49140,98280,982,14040,140
105,4783000,47830,95660,956,13665,136
106,4877000,48770,97540,975,13934,139
107,4713000,47130,94260,942,13465,134
108,4733000,47330,94660,946,13522,135
109,4545000,45450,90900,909,12985,129
110,4449000,44490,88980,889,12711,127
111,4433000,44330,88660,886,12665,126
112,6130000,61300,122600,1226,17514,175
113,6049000,60490,120980,1209,17282,172
114,4176000,41760,83520,835,11931,119
115,4193000,41930,83860,838,11980,119
116,4073000,40730,81460,814,11637,116
117,4888000,48880,97760,977,13965,139
118,5797000,57970,115940,1159,16562,165
119,4305000,43050,86100,861,12300,123
120,3848000,38480,76960,769,10994,109
121,3780000,37800,75600,756,10800,108
122,3742000,37420,74840,748,10691,106
123,4144000,41440,82880,828,11840,118
124,3581000,35810,71620,716,10231,102
125,3698000,36980,73960,739,10565,105
126,3534000,35340,70680,706,10097,100
127,3482000,34820,69640,696,9948,99
128,3451000,34510,69020,690,9860,98
129,3400000,34000,68000,680,9714,97
130,3561000,35610,71220,712,10174,101
131,3488000,34880,69760,697,9965,99
132,3378000,33780,67560,675,9651,96
133,3230000,32300,64600,646,9228,92
134,3172000,31720,63440,634,9062,90
135,3162000,31620,63240,632,9034,90
136,3350000,33500,67000,670,9571,95
137,3188000,31880,63760,637,9108,91
138,3066000,30660,61320,613,8760,87
139,3181000,31810,63620,636,9088,90
140,2909000,29090,58180,581,8311,83
141,2882000,28820,57640,576,8234,82
142,2844000,28440,56880,568,8125,81
143,2792000,27920,55840,558,7977,79
144,2748000,27480,54960,549,7851,78
145,2711000,27110,54220,542,7745,77
146,3550000,35500,71000,710,10142,101
147,3791000,37910,75820,758,10831,108
148,2631000,26310,52620,526,7517,75
149,2613000,26130,52260,522,7465,74
150,2518000,25180,50360,503,7194,71
151,2483000,24830,49660,496,7094,70
152,2457000,24570,49140,491,7020,70
153,2430000,24300,48600,486,6942,69
154,2383000,23830,47660,476,6808,68
155,2680000,26800,53600,536,7657,76
156,3260000,32600,65200,652,9314,93
157,2442000,24420,48840,488,6977,69
158,2355000,23550,47100,471,6728,67
159,2437000,24370,48740,487,6962,69
160,2241000,22410,44820,448,6402,64
161,2161000,21610,43220,432,6174,61
162,2118000,21180,42360,423,6051,60
163,2088000,20880,41760,417,5965,59
164,2070000,20700,41400,414,5914,59
165,2036000,20360,40720,407,5817,58
166,2486000,24860,49720,497,7102,71
167,1986000,19860,39720,397,5674,56
168,1949000,19490,38980,389,5568,55
169,1912000,19120,38240,382,5462,54
170,1916000,19160,38320,383,5474,54
171,1870000,18700,37400,374,5342,53
172,1802000,18020,36040,360,5148,51
173,1780000,17800,35600,356,5085,50
174,1777000,17770,35540,355,5077,50
175,1846000,18460,36920,369,5274,52
176,1865000,18650,37300,373,5328,53
177,1727000,17270,34540,345,4934,49
178,1616000,16160,32320,323,4617,46
179,1731000,17310,34620,346,4945,49
180,1619000,16190,32380,323,4625,46
181,1619000,16190,32380,323,4625,46
182,1511000,15110,30220,302,4317,43
183,1497000,14970,29940,299,4277,42
184,1458000,14580,29160,291,4165,41
185,1448000,14480,28960,289,4137,41
186,1421000,14210,28420,284,4060,40
187,1389000,13890,27780,277,3968,39
188,1381000,13810,27620,276,3945,39
189,1384000,13840,27680,276,3954,39
190,1338000,13380,26760,267,3822,38
191,1346000,13460,26920,269,3845,38
192,1300000,13000,26000,260,3714,37
193,1297000,12970,25940,259,3705,37
194,1373000,13730,27460,274,3922,39
195,1312000,13120,26240,262,3748,37
196,1368000,13680,27360,273,3908,39
197,1471000,14710,29420,294,4202,42
198,1331000,13310,26620,266,3802,38
199,1370000,13700,27400,274,3914,39
200,1347000,13470,26940,269,3848,38
201,1335000,13350,26700,267,3814,38
202,1337000,13370,26740,267,3820,38
203,1315000,13150,26300,263,3757,37
204,1349000,13490,26980,269,3854,38
205,1318000,13180,26360,263,3765,37
206,1301000,13010,26020,260,3717,37
207,1317000,13170,26340,263,3762,37
208,1296000,12960,25920,259,3702,37
209,1317000,13170,26340,263,3762,37
210,1322000,13220,26440,264,3777,37
211,1305000,13050,26100,261,3728,37
212,1325000,13250,26500,265,3785,37
213,1333000,13330,26660,266,3808,38
214,1318000,13180,26360,263,3765,37
215,1314000,13140,26280,262,3754,37
216,2187000,21870,43740,437,6248,62
217,2143000,21430,42860,428,6122,61
218,1733000,17330,34660,346,4951,49
219,1730000,17300,34600,346,4942,49
220,1810000,18100,36200,362,5171,51
221,1762000,17620,35240,352,5034,50
222,1717000,17170,34340,343,4905,49
223,1704000,17040,34080,340,4868,48
224,1652000,16520,33040,330,4720,47
225,1442000,14420,28840,288,4120,41
226,1437000,14370,28740,287,4105,41
227,1373000,13730,27460,274,3922,39
228,1275000,12750,25500,255,3642,36
229,1315000,13150,26300,263,3757,37
230,1311000,13110,26220,262,3745,37
231,1480000,14800,29600,296,4228,42
232,1320000,13200,26400,264,3771,37
233,1313000,13130,26260,262,3751,37
234,1305000,13050,26100,261,3728,37
235,1265000,12650,25300,253,3614,36
236,1265000,12650,25300,253,3614,36
237,1282000,12820,25640,256,3662,36
238,1296000,12960,25920,259,3702,37
239,1255000,12550,25100,251,3585,35
240,1274000,12740,25480,254,3640,36
241,1272000,12720,25440,254,3634,36
242,1266000,12660,25320,253,3617,36
243,1284000,12840,25680,256,3668,36
244,1314000,13140,26280,262,3754,37
245,1309000,13090,26180,261,3740,37
246,1346000,13460,26920,269,3845,38
247,1315000,13150,26300,263,3757,37
248,1271000,12710,25420,254,3631,36
249,1263000,12630,25260,252,3608,36
250,1280000,12800,25600,256,3657,36
251,1330000,13300,26600,266,3800,38
252,1305000,13050,26100,261,3728,37
253,1306000,13060,26120,261,3731,37
254,1306000,13060,26120,261,3731,37
255,1283000,12830,25660,256,3665,36
256,1458000,14580,29160,291,4165,41
257,1317000,13170,26340,263,3762,37
258,1316000,13160,26320,263,3760,37
259,1310000,13100,26200,262,3742,37
260,1313000,13130,26260,262,3751,37
261,1318000,13180,26360,263,3765,37
262,1311000,13110,26220,262,3745,37
263,1314000,13140,26280,262,3754,37
264,1312000,13120,26240,262,3748,37
265,1308000,13080,26160,261,3737,37
266,1314000,13140,26280,262,3754,37
267,1267000,12670,25340,253,3620,36
268,1313000,13130,26260,262,3751,37
269,1423000,14230,28460,284,4065,40
270,1307000,13070,26140,261,3734,37
271,1338000,13380,26760,267,3822,38
272,1280000,12800,25600,256,3657,36
273,1276000,12760,25520,255,3645,36
274,1285000,12850,25700,257,3671,36
275,1277000,12770,25540,255,3648,36
276,1308000,13080,26160,261,3737,37
277,1304000,13040,26080,260,3725,37
278,1288000,12880,25760,257,3680,36
279,1285000,12850,25700,257,3671,36
280,1343000,13430,26860,268,3837,38
281,1314000,13140,26280,262,3754,37
282,1270000,12700,25400,254,3628,36
283,1270000,12700,25400,254,3628,36
284,1274000,12740,25480,254,3640,36
285,1274000,12740,25480,254,3640,36
286,1278000,12780,25560,255,3651,36
287,1238000,12380,24760,247,3537,35
288,1608000,16080,32160,321,4594,45
289,2242000,22420,44840,448,6405,64
290,1883000,18830,37660,376,5380,53
291,1812000,18120,36240,362,5177,51
292,1751000,17510,35020,350,5002,50
293,1754000,17540,35080,350,5011,50
294,1562000,15620,31240,312,4462,44
295,1482000,14820,29640,296,4234,42
296,1460000,14600,29200,292,4171,41
297,1332000,13320,26640,266,3805,38
298,1310000,13100,26200,262,3742,37
299,1301000,13010,26020,260,3717,37
300,1293000,12930,25860,258,3694,36
301,1271000,12710,25420,254,3631,36
302,1266000,12660,25320,253,3617,36
303,1339000,13390,26780,267,3825,38
304,1566000,15660,31320,313,4474,44
305,2114000,21140,42280,422,6040,60
306,1994000,19940,39880,398,5697,56
307,1720000,17200,34400,344,4914,49
308,1742000,17420,34840,348,4977,49
309,1773000,17730,35460,354,5065,50
310,1306000,13060,26120,261,3731,37
311,1251000,12510,25020,250,3574,35
312,1269000,12690,25380,253,3625,36
313,1288000,12880,25760,257,3680,36
314,1311000,13110,26220,262,3745,37
315,1277000,12770,25540,255,3648,36
316,1295000,12950,25900,259,3700,37
317,1355000,13550,27100,271,3871,38
318,1327000,13270,26540,265,3791,37
319,1314000,13140,26280,262,3754,37
320,1311000,13110,26220,262,3745,37
321,1536000,15360,30720,307,4388,43
322,1355000,13550,27100,271,3871,38
323,1302000,13020,26040,260,3720,37
324,1280000,12800,25600,256,3657,36
325,1254000,12540,25080,250,3582,35
326,1336000,13360,26720,267,3817,38
327,1315000,13150,26300,263,3757,37
328,1666000,16660,33320,333,4760,47
329,2108000,21080,42160,421,6022,60
330,1969000,19690,39380,393,5625,56
331,1706000,17060,34120,341,4874,48
332,1703000,17030,34060,340,4865,48
333,1707000,17070,34140,341,4877,48
334,1552000,15520,31040,310,4434,44
