x,y,course
0.0,0.0,0.0
0.0,0.0,5.668789
0.0,0.0,5.668789
0.0,0.0,5.668789
0.0,0.0,5.668789
2.104367,-0.0035081566,5.668789
4.9580708,-0.039555613,5.6601944
7.9984484,-0.14954665,5.6488
11.165511,-0.3750338,5.637084
14.407358,-0.7568284,5.625443
17.678652,-1.3348578,5.614223
20.937212,-2.1481538,5.6037273
24.13992,-3.2345223,5.5942273
27.238518,-4.6295376,5.5859766
30.17565,-6.3645544,5.579219
32.88132,-8.463408,5.574197
35.271908,-10.935821,5.571151
37.277885,-13.750875,5.570302
38.852024,-16.847742,5.571694
39.956627,-20.15752,5.5752134
40.564785,-23.60598,5.5807066
40.661232,-27.115852,5.587993
40.242622,-30.608946,5.5968723
39.31735,-34.008045,5.607133
37.90511,-37.238617,5.618555
36.036266,-40.230377,5.6309185
33.750984,-42.918636,5.6440005
31.098314,-45.24558,5.6575804
28.135069,-47.161327,5.6714373
24.924603,-48.624954,5.685352
21.53547,-49.60524,5.6991057
18.03999,-50.081314,5.7124805
14.51272,-50.043068,5.725258
11.028888,-49.491364,5.7372203
7.6627903,-48.437984,5.7481503
4.4862275,-46.905415,5.7578335
1.5669633,-44.926376,5.7660584
-1.0327139,-42.54311,5.772623
-3.2573283,-39.806484,5.7773356
-5.059398,-36.774906,5.7800226
-6.40046,-33.513092,5.7805376
-7.251886,-30.090681,5.778766
-7.5955,-26.580725,5.774641
-7.4239645,-23.058159,5.7681494
-6.7409406,-19.598186,5.759346
-5.561011,-16.274673,5.7483625
-3.9093666,-13.158574,5.735411
-1.8212674,-10.316416,5.7207875
0.6587089,-7.8088737,5.704866
3.477618,-5.689484,5.688083
6.5752783,-4.003493,5.670923
9.885559,-2.786895,5.6538887
13.33779,-2.0656626,5.637477
16.858269,-1.855193,5.6221504
20.37184,-2.1599798,5.608318
23.803488,-2.9735165,5.5963144
27.07996,-4.2784348,5.5863953
30.1313,-6.0468764,5.5787325
32.89237,-8.241088,5.5734167
35.304222,-10.814224,5.570469
37.31537,-13.711353,5.5698476
38.882874,-16.870623,5.5714607
39.97327,-20.224592,5.575177
40.563286,-23.701653,5.580835
40.640316,-27.227577,5.5882506
40.202717,-30.727089,5.5972276
39.259842,-34.12548,5.6075573
37.83181,-37.350197,5.619027
35.949116,-40.332397,5.63142
33.65195,-43.00842,5.644519
30.989359,-45.321133,5.658105
28.018171,-47.22116,5.67196
24.801826,-48.667942,5.685866
21.408987,-49.630596,5.6996045
17.912086,-50.088573,5.712958
14.385775,-50.032093,5.725707
10.905335,-49.462357,5.737634
7.545067,-48.39153,5.7485223
4.376709,-46.842472,5.758156
1.4679003,-44.84825,5.766325
-1.1192608,-42.45145,5.772826
-3.3295426,-39.703228,5.777469
-5.1157594,-36.662262,5.7800813
-6.439776,-33.39346,5.780516
-7.273325,-29.966618,5.7786617
-7.5986114,-26.454887,5.7744513
-7.4086895,-22.933237,5.767876
-6.7076144,-19.476856,5.758992
-5.510354,-16.15953,5.7479343
-3.8424675,-13.052085,5.7349176
-1.7395623,-10.220857,5.720241
0.7534673,-7.7262883,5.7042804
3.5833983,-5.621636,5.6874757
6.6898146,-3.9518313,5.6703115
10.006398,-2.752523,5.6532907
13.462344,-2.0493143,5.63691
16.983873,-1.8572181,5.62163
20.495806,-2.180335,5.6078577
23.923168,-3.0117671,5.595925
27.192783,-4.333765,5.5860834
